iter	Passed	Remaining
0	1	131
1	2	110
2	3	106
3	3	93
4	4	94
5	5	92
6	6	90
7	7	90
8	8	89
9	9	87
10	10	88
11	11	87
12	12	86
13	13	84
14	14	82
15	15	81
16	16	80
17	17	78
18	18	76
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	67
27	26	66
28	27	66
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	58
37	35	57
38	36	56
39	37	55
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	39
55	49	38
56	50	37
57	50	36
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
